sample.ID;fatty.name;d13C;d13Ccor;site;family
M000-Ctr-1;14:0;-25.6291602890399;-24.7311043083093;Mud;SFA
M000-Ctr-4;14:0;-26.2592104794789;-25.4031578447775;Mud;SFA
M000-Ctr-7;14:0;-26.9702416972198;-26.1615911437012;Mud;SFA
M004-C12-2;14:0;-26.4674474068273;-25.6252772339491;Mud;SFA
M004-C12-5;14:0;-25.8876766454276;-25.0068550884561;Mud;SFA
M004-C12-8;14:0;-27.1642402021856;-26.3685228823313;Mud;SFA
M004-Ctr-1;14:0;-15.914699984578;-14.3690133168831;Mud;SFA
M004-Ctr-4;14:0;-28.0336738689354;-27.2959187935311;Mud;SFA
M004-Ctr-7;14:0;-27.3582387071512;-26.5754546209612;Mud;SFA
M024-C12-2;14:0;-25.9842309472109;-25.1098463436916;Mud;SFA
M024-C12-5;14:0;-25.8382871177874;-24.9541729256398;Mud;SFA
M024-C12-8;14:0;-24.6511586516212;-23.6879025617292;Mud;SFA
M024-Ctr-1;14:0;-26.4603281956359;-25.6176834086783;Mud;SFA
M024-Ctr-4;14:0;-27.1535613853984;-26.3571321444249;Mud;SFA
M024-Ctr-7;14:0;-27.0307549923468;-26.2261386585032;Mud;SFA
M120-C12-2;14:0;-25.854305342968;-24.9712590324992;Mud;SFA
M120-C12-5;14:0;-24.7063325383546;-23.7467547075783;Mud;SFA
M120-C12-8;14:0;-25.3595201651656;-24.4434881761767;Mud;SFA
M120-Ctr-1;14:0;-26.7433168404939;-25.9195379631935;Mud;SFA
M120-Ctr-4;14:0;-26.5324102089489;-25.6945708895455;Mud;SFA
M120-Ctr-7;14:0;-26.8670131349445;-26.0514806772742;Mud;SFA
M000-Ctr-1;15:0iso;-25.5588580785249;-24.7125367084327;Mud;BFA
M000-Ctr-4;15:0iso;-25.8062506674259;-24.97539133414;Mud;BFA
M000-Ctr-7;15:0iso;-26.6151710390488;-25.8348692289893;Mud;BFA
M004-C12-2;15:0iso;-27.2025059623394;-26.4589125849856;Mud;BFA
M004-C12-5;15:0iso;-25.3145801445199;-24.4529914035524;Mud;BFA
M004-C12-8;15:0iso;-26.7637845726693;-25.9927711084611;Mud;BFA
M004-Ctr-1;15:0iso;-14.3113942975119;-12.7621064411064;Mud;BFA
M004-Ctr-4;15:0iso;-26.9399850496564;-26.17998411526;Mud;BFA
M004-Ctr-7;15:0iso;-26.6556615526998;-25.8778903997436;Mud;BFA
M024-C12-2;15:0iso;-26.9052788950984;-26.1431088260421;Mud;BFA
M024-C12-5;15:0iso;-26.0358452283486;-25.2193355551203;Mud;BFA
M024-C12-8;15:0iso;-26.007368383583;-25.1890789075569;Mud;BFA
M024-Ctr-1;15:0iso;-26.6890328551597;-25.9133474086071;Mud;BFA
M024-Ctr-4;15:0iso;-25.8329477093937;-25.0037569412308;Mud;BFA
M024-Ctr-7;15:0iso;-26.6098316306553;-25.8291961075713;Mud;BFA
M120-C12-2;15:0iso;-25.7386181611077;-24.9035317961769;Mud;BFA
M120-C12-5;15:0iso;-23.2718114832876;-22.2825497009931;Mud;BFA
M120-C12-8;15:0iso;-25.6104723596625;-24.7673768821414;Mud;BFA
M120-Ctr-1;15:0iso;-26.433631153668;-25.6419831007723;Mud;BFA
M120-Ctr-4;15:0iso;-25.5383903463495;-24.6907897429964;Mud;BFA
M120-Ctr-7;15:0iso;-25.8890114975261;-25.0633247161215;Mud;BFA
M000-Ctr-1;15:0anteiso;-26.1853486633681;-25.3781829548286;Mud;BFA
