groupe;BRA;C16ratio;site
M000_CTR_1;3.628405784;1.60047003508048;Mud
M000_CTR_4;3.307644461;1.58770318653306;Mud
M000_CTR_7;3.394625178;1.32058031897224;Mud
M004_C12_2;4.379864002;1.38534421866264;Mud
M004_C12_5;4.456671723;1.51109467462075;Mud
M004_C12_8;4.833303235;1.40232693428552;Mud
M004_CTR_1;4.862274957;1.33732317755196;Mud
M004_CTR_4;5.182946702;1.75977282352774;Mud
M004_CTR_7;4.858638017;1.3475579340114;Mud
M024_C12_2;4.199660222;1.66329248821184;Mud
M024_C12_5;4.333720374;1.42080320785108;Mud
M024_C12_8;4.131590469;1.48415089748731;Mud
M024_CTR_1;4.265771128;1.63555738907716;Mud
M024_CTR_4;3.610262493;1.41365752738136;Mud
M024_CTR_7;5.17435255;1.42785911236695;Mud
M120_C12_2;3.802518753;1.61514229818376;Mud
M120_C12_5;4.537928408;1.49828273099562;Mud
M120_C12_8;3.67441712;1.43337141838671;Mud
M120_CTR_1;4.330006089;1.59507997956799;Mud
M120_CTR_4;3.651545028;1.57075121439913;Mud
M120_CTR_7;4.292950261;1.38290069057361;Mud
S000_CTR_1;5.108881903;2.49241884588499;Sand
S000_CTR_4;3.333333334;0.997085020401942;Sand
S000_CTR_7;3.147056128;1.01223679869308;Sand
S003_C12_2;3.608086084;1.9231926903505;Sand
S003_C12_5;2.194872191;0.719865626769136;Sand
S003_C12_8;2.715286541;0.969985825700315;Sand
S003_CTR_1;2.494731623;0.818148784374976;Sand
S003_CTR_4;2.644269183;0.878355295199826;Sand
S003_CTR_7;5.667132065;3.62695615531565;Sand
S024_C12_2;4.061316501;1.72831816034053;Sand
S024_C12_5;2.700523982;1.02126066775808;Sand
S024_C12_8;2.213014711;1.03333333346158;Sand
S024_CTR_1;3.376986266;0.899742688386811;Sand
S024_CTR_4;2.680410842;1.02445856209753;Sand
S024_CTR_7;3.090817081;0.995764718940559;Sand
